"l_english:","",""
"","",""
" #court.4500 Fake artifacts and trinkets","",""
" blood_brooch_name0: ""Blood Brooch""","",""
" blood_brooch_description0: ""This brooch has a glass orb filled with the blood of [ROOT.GetCharacter.GetTitledFirstName].""","",""
" cuckoldry_psalter_name0: ""The Psalter of Cuckoldry""","",""
" cuckoldry_psalter_description0: ""Passing from cuckoo to cozen throughout the ages"," кажуть, що цей фоліант - найкращий подарунок, який можна зробити подружжю. Принаймні, фігурки зі слонової кістки на обкладинці здаються щасливо одруженими.""",""
" chastity_belt_name0: ""Chastity Belt""","",""
" chastity_belt_description0: ""This chastity belt has spikes both inside and out"," для захисту вас та інших.""",""
" holy_needle_name0: ""The Holy Needle of Antioch""","",""
" holy_needle_description0: ""Well"," ви можете зробити гарну вишивку Розп'яття.""",""
" finger_bones_name0: ""Finger Bones of a Saint""","",""
" finger_bones_description0: ""All eleven of them!""","",""
" dead_chicken_name0: ""The Targe of the Craven""","",""
" dead_chicken_description0: ""No one will want to be around you if you brandish this dead chicken"," не в останню чергу ваші вороги.""",""
" worm_on_a_string_name0: ""Worm on a String""","",""
" worm_on_a_string_description0: ""A toy which would probably impress an infant child.""","",""
"","",""
"","",""
" #court.4750 Book commissions","",""
" pope_joan_book_name0: ""Tales of Pope Joan""","",""
" pope_joan_book_desc0: ""A book where [ROOT.Char.GetTitledFirstNameNoTooltip] is depicted as Pope Joan. Devout"," богохульство"," or alluring?"""
" lady_godiva_book_name0: ""Tales of Lady Godiva""","",""
" lady_godiva_book_desc0: ""At least the depictions of [ROOT.Char.GetTitledFirstNameNoTooltip] riding naked are flattering.""","",""
" caligula_book_name0: ""Five Hundred Lashes""","",""
" caligula_book_desc0: ""Five hundred pages of Caligula whipping [ROOT.Char.GetTitledFirstNameNoTooltip]""","",""
" nasreddin_book_name0: ""Tales of Nasreddin""","",""
" nasreddin_book_desc0: ""In which [ROOT.Char.GetTitledFirstNameNoTooltip] receives the fine honor of Nasreddin's mockery""","",""
" valmiki_book_name0: ""Epigrams of Valmiki""","",""
" valmiki_book_desc0: ""A series of witticisms from the earliest poet"," Вальмікі"," spouted through the unlikely mouth of [ROOT.Char.GetTitledFirstNameNoTooltip]"""
" ruler_hero_book_name0: ""Tales of [ROOT.Char.GetTitledFirstNameNoTooltip]""","",""
" ruler_hero_book_desc0: ""The opening line has [ROOT.Char.GetTitledFirstNameNoTooltip] declaring to [ROOT.Char.GetHerHis] court: 'I must sit"," бо не можу тебе терпіти.'""",""
" sinbad_book_name0: ""Journeys of Sinbad""","",""
" sinbad_book_desc0: ""A book in which various beasts Sinbad faces bear the face of [ROOT.Char.GetTitledFirstNameNoTooltip]""","",""
"","",""
" #court.4806 fan relics","",""
" purple_underwear_name0: ""Imperial purple undergarments""","",""
" purple_underwear_description0: ""Fit only for an Emperor.\n\nSic itur ad astra...?""","",""
" fake_reichskrone_name0: ""Fake Reichskrone""","",""
" fake_reichskrone_description0: ""Wear to truly be a #EMP pretender#! to the throne""","",""
