"l_english":""
" ##################################################":""
" # #Decision Opinions":""
" king_of_the_north_sea_opinion0":"King of the North Sea"
" queen_of_the_north_sea_opinion0":"Queen of the North Sea"
" fp1_held_grand_sacrifice_opinion0":"Held Grand Sacrifice"
" fp1_held_human_sacrifice_opinion0":"Held Human Sacrifice"
"":""
" ##################################################":""
" # #Event Opinions":""
" fp1_rejected_my_sword_opinion0":"Rejected my Sword"
" fp1_accepted_my_sword_opinion0":"Accepted my Sword"
" fp1_defied_religious_traditions_opinion0":"Defied Religious Traditions"
" fp1_usurped_my_authority_opinion0":"Usurped my Authority"
" fp1_saved_me_from_the_mob_opinion0":"Saved me from the Mob"
" fp1_abandoned_me_to_the_mob_opinion0":"Abandoned me to the Mob"
" fp1_honoured_heathen_opinion0":"Honored Heathen"
" fp1_desecrated_corpse_of_loved_one0":"Desecrated Corpse of Loved One"
"":""
" ##################################################":""
" # #Culture Opinions":""
" norse_opinion0":"$norse$ Opinion"
" danish_opinion0":"$danish$ Opinion"
" norwegian_opinion0":"$norwegian$ Opinion"
" swedish_opinion0":"$swedish$ Opinion"
" lombard_opinion0":"$lombard$ Opinion"
" italian_opinion0":"$italian$ Opinion"
" gaelic_opinion0":"$gaelic$ Opinion"
" scottish_opinion0":"$scottish$ Opinion"
" persian_opinion0":"$persian$ Opinion"
