"l_english:"|""
" #A courtier propositions you via a lewd image, by Ewan Cowhig Croft"|""
" intrigue_temptation.3100.cloth_t0: ""What Beautiful... Stitching"""|""
" intrigue_temptation.3100.stone_t0: ""What a Beautiful... Engraving"""|""
" intrigue_temptation.3100.wax_t0: ""What a Beautiful... Etching"""|""
" intrigue_temptation.3100.wood_t0: ""What a Beautiful... Carving"""|""
" intrigue_temptation.3100.vellum_t0: ""What A Beautiful... Drawing"""|""
" intrigue_temptation.3100.start_desc0: ""A servant discretely drops the package next to me. I yawn, barely enduring this woeful feast, and start opening it.\n\nInside is"""|""
" intrigue_temptation.3100.end_desc0: ""depicting a rather flatteringly-endowed [propositioning_courtier.GetWomanMan] form bent into a ""seductive"" pose.\n\nI glance around the hall, stunned, only to see [propositioning_courtier.GetTitledFirstNameNoTooltip] staring back at me. [propositioning_courtier.GetSheHe"|"U] grins, and [propositioning_courtier.GetHerHis] eyebrows start wiggling like frenzied caterpillars."""
" intrigue_temptation.3100.cloth_desc0: ""a stained cloth, crudely embroidered,"""|""
" intrigue_temptation.3100.stone_desc0: ""a thin stone slab, roughly engraved,"""|""
" intrigue_temptation.3100.wax_desc0: ""a smelly wax tablet, lazily etched,"""|""
" intrigue_temptation.3100.wood_desc0: ""a wooden plate, awkwardly carved,"""|""
" intrigue_temptation.3100.vellum_desc0: ""a sheet of vellum, with a blotchy ink sketch"""|""
" intrigue_temptation.3100.a0: ""How disgusting!"""|""
" intrigue_temptation.3100.a.tt0: ""Any chaste characters in your court gain a little respect for you"""|""
" intrigue_temptation.3100.b0: ""Another eager fool, another secret."""|""
" intrigue_temptation.3100.b.tt0: ""I try to coax a secret out of [propositioning_courtier.GetShortUINameNoTooltip]"""|""
" intrigue_temptation.3100.b.tt.secret_gained0: ""In bed, [propositioning_courtier.GetShortUINameNoTooltip] tells such interesting tales."""|""
" intrigue_temptation.3100.b.tt.xp_gained0: ""Sadly,[propositioning_courtier.GetShortUINameNoTooltip] knows nothing."""|""
" intrigue_temptation.3100.cloth_c0: ""A [propositioning_courtier.GetWomanMan] of nimble fingers..."""|""
" intrigue_temptation.3100.stone_c0: ""My, how #EMP firm#! [propositioning_courtier.GetSheHe] looks..."""|""
" intrigue_temptation.3100.wax_c0: ""My, the wax is still warm..."""|""
" intrigue_temptation.3100.wood_c0: ""[propositioning_courtier.GetSheHe"|"U] looks simply delicious..."""
" intrigue_temptation.3100.vellum_c0: ""So, [propositioning_courtier.GetSheHe] enjoys getting messy..."""|""
" intrigue_temptation.3100.d0: ""I think a public viewing is in order."""|""
" public_shamer_modifier0: ""Shared Amateur Art"""|""
" #While drinking with a courtier, you lead them towards deviancy, by Ewan Cowhig Croft"|""
" intrigue_temptation.3110.t0: ""A Little Experimentation"""|""
" intrigue_temptation.3110.start_desc0: ""A long evening of state-business with [potential_deviant.GetTitledFirstNameNoTooltip] has slowly degenerated into both of us being deep in our cups, slurringly swapping saucy stories.\n\nI have just finished my retelling of a tale"""|""
" intrigue_temptation.3110.end_desc0: ""when I see an untoward gleam in my companion's eye.\n\nThoughts of blackmail race, unbidden, to my mind. Perhaps [potential_deviant.GetTitledFirstNameNoTooltip] is actually a little keener on this subject than [potential_deviant.GetSheHe] knows?"""|""
" intrigue_temptation.3110.0_desc0: ""about the forbidden love 'twixt goat and badger,"""|""
" intrigue_temptation.3110.1_desc0: ""of mournful lust for one's unreachable reflection,"""|""
" intrigue_temptation.3110.2_desc0: ""of a most unlikely relationship involving a horse,"""|""
" intrigue_temptation.3110.3_desc0: ""about a lord who loved his land a little #EMP too#! much,"""|""
" intrigue_temptation.3110.4_desc0: ""involving three lecherous [ROOT.Char.GetFaith.PriestNeuterPlural] and an extremely-worn felt hat,"""|""
" intrigue_temptation.3110.5_desc0: ""about my grandfather's amorous exploits with a wily fish,"""|""
" intrigue_temptation.3110.6_desc0: ""about a rather curvaceous pastry,"""|""
" intrigue_temptation.3110.7_desc0: ""involving a bandit's well-loved tree stump,"""|""
" intrigue_temptation.3110.8_desc0: ""of the seductive charms of some exotic sea monsters,"""|""
" intrigue_temptation.3110.9_desc0: ""relating the natural proclivities of certain barbaric cultures,"""|""
" intrigue_temptation.3110.a0: ""I know a few other stories like that..."""|""
" intrigue_temptation.3110.a.tt_success0: ""[potential_deviant.GetShortUINameNoTooltip] discovers a new hobby"""|""
