"l_english:"|""
" bp1_yearly.7000.t0: ""Breaking Fast With a Friend"""|""
" bp1_yearly.7000.desc0: ""I am on my way to the [ROOT.Char.GetFaith.HouseOfWorship] one morning when I run into [distraction_friend.GetTitledFirstName], who is carrying a small bag. Glancing around, [distraction_friend.GetSheHe] conspiratorially opens it revealing all sorts of foods and drink.\n\n""It is such a beautiful day, come join me outside for a morning picnic."" [distraction_friend.GetSheHe"|"U] says.\n\nAs I start to protesting that I'm on my way to the [ROOT.Char.GetFaith.HouseOfWorship], [distraction_friend.GetFirstNameNoTooltip] interrupts me: \n\n""[ROOT.Char.GetFaith.HighGodName] will still be there later, but these [ROOT.Char.Custom('GetExpensiveDessert')] won't."" """
" bp1_yearly.7000.a0: ""[ROOT.Char.GetFaith.HighGodName] is more important than breakfast."""|""
" bp1_yearly.7000.b0: ""The true sin would be letting this opportunity pass."""|""
" "|""
" lovely_picnic_modifier0: ""Lovely Picnic"""|""
" lovely_picnic_modifier_desc0: ""Went on a lovely picnic."""|""
" "|""
" bp1_yearly.7001.t0: ""Gone Fishing"""|""
" bp1_yearly.7001.desc0: ""My [ROOT.Char.Custom2('RelationToMeShort', fishing_friend)] [fishing_friend.GetFirstName] stops me in the corridor, grinning from ear to ear. In [fishing_friend.GetHerHis] hands are two fishing poles. \n\n""Come fishing with me today, dear [fishing_friend.Custom2('RelationToMeShort', ROOT.Char)]. I promise you will love it!"" [fishing_friend.GetSheHe"|"U] exclaims.\n\nIt has been a while since I took a break and escaped the hustle and bustle of the [ROOT.Char.Custom('FortifiedBuilding')]..."""
" bp1_yearly.7001.a0: ""I will catch the fabled white carp!"""|""
" bp1_yearly.7001.b0: ""A [ROOT.Char.GetTitleAsNameNoTooltip] does not #EMP 'Fish'#!."""|""
" "|""
" bp1_yearly_7001.a.tt0: ""You go on a fishing trip"""|""
" "|""
" bp1_yearly.7001.a.toast.good_time0: ""You have a Great Trip"""|""
" bp1_yearly.7001.a.toast.bad_time0: ""You have a Bad Time"""|""
" bp1_yearly.7001.a.toast.caught_fish0: ""You Catch a Giant Fish"""|""
" bp1_yearly.7001.a.toast.white_carp0: ""You Catch The Legendary White Carp"""|""
" "|""
" "|""
" bp1_yearly.7002.t0: ""Privy Squabbles"""|""
" bp1_yearly.7002.desc0: ""Having just relieved myself, I saunter over to the window and watch the courtyard below.\n\nMy mood sours when I see my rival, [chamberpot_rival.GetFirstName], walking through the courtyard with an infuriating look of gaiety on [chamberpot_rival.GetHerHis] face. My eyes dart to the full chamber pot next to my bed, perhaps I could do something about that good mood..."""|""
" bp1_yearly.7002.a0: ""Look out below!"""|""
" bp1_yearly.7002.b0: ""I am an adult, and this is beneath me."""|""
" "|""
" bp1_yearly.7002.a.tt0: ""You attempt to empty the chamber pot on them"""|""
" "|""
" drenched_in_excrement_opinion0: ""Drenched in Excrement"""|""
" threw_excrement_opinion0: ""Nearly Drenched in Excrement"""|""
" "|""
" bp1_yearly.7002.a.toast.perfect_hit0: ""Direct Hit!"""|""
" bp1_yearly.7002.a.toast.miss0: ""Complete Miss!"""|""
" bp1_yearly.7002.a.toast.chamberpot0: ""You Dropped The Chamberpot!"""|""
" bp1_yearly.7002.a.toast.tripped0: ""You Slip and Cover Yourself in Excrement!"""|""
" "|""
" "|""
" "|""
" "|""
" bp1_yearly.7003.t0: ""The Tapestry"""|""
" bp1_yearly.7003.desc0: ""I am searching for [orgy_tapestry_maker.Custom2('MyCharacterIntroduction', ROOT.Char)], but [orgy_tapestry_maker.GetSheHe] is nowhere to be found. Eventually I barge into [orgy_tapestry_maker.GetHerHis] quarters where I don't find #EMP [orgy_tapestry_maker.GetHerHim]#!... but I do find something very interesting.\n\nIt appears [orgy_tapestry_maker.GetSheHe] has been working on a tapestry depicting a rather explicit orgy. I'm there, sandwiched between my [ROOT.Char.Custom2('RelationToMeShort', orgy_participant_1)] [orgy_participant_1.GetFirstName] and my [ROOT.Char.Custom2('RelationToMeShort', orgy_participant_2)] [orgy_participant_2.GetFirstName]. Meanwhile my [ROOT.Char.Custom2('RelationToMeShort', orgy_tapestry_maker)] [orgy_tapestry_maker.GetFirstNameNoTooltip] appears to be having a grand old time with [ROOT.Char.GetFaith.DevilName]. In the corner of it all, my [ROOT.Char.Custom2('RelationToMeShort', orgy_participant_3)] [orgy_participant_3.GetFirstName] sits with an enraptured grin.\n\nI am speechless."""|""
" bp1_yearly.7003.a0: ""Disgusting!"""|""
" bp1_yearly.7003.b0: ""I #EMP must#! hang this on my wall."""|""
" bp1_yearly.7003.c0: ""I took a, uh, wrong turn."""|""
" "|""
" bp1_orgy_tapestry0: ""Tapestry of an Orgy"""|""
" bp1_orgy_tapestry_desc0: ""This tapestry depicts [orgy_participant_1.GetFirstName], [ROOT.Char.GetName], [orgy_participant_2.GetName], [orgy_participant_3.GetName] and [orgy_tapestry_maker.GetName] engaging in an orgy. [ROOT.Char.GetFaith.DevilName] is also taking part."""|""
" "|""
" "|""
" bp1_yearly.7004.t0: ""Comfort of a Friend"""|""
" bp1_yearly.7004.desc0: ""My [ROOT.Char.Custom2('RelationToMeShort', concerned_friend)] [concerned_friend.GetFirstName] approaches me as I am sitting by the window: ""You haven't been the same since... since what happened.""\n\n[concerned_friend.GetSheHe"|"U] doesn't say it but I know [concerned_friend.GetSheHe] is referring to when [bad_memory.GetDescription].\n\n""Perhaps you need someone to talk to? I could be that someone,"" [concerned_friend.GetSheHe] continues gently."""
" bp1_yearly.7004.a0: ""That sounds nice."""|""
" bp1_yearly.7004.b0: ""My troubles are my own."""|""
" "|""
" bp1_yearly.7005.t0: ""A Favor for a Friend"""|""
" bp1_yearly.7005.desc0: ""My friend [borrowing_friend.GetName] comes to me obviously wanting something. Eventually I get tired of [borrowing_friend.GetHerHim] dancing around the subject and demand [borrowing_friend.GetSheHe] tell me.\n\n""Well I was hoping I could borrow your [borrowed_artifact.GetName] for one evening, but you can't ask why...""\n\n[borrowing_friend.GetSheHe"|"U] is clearly embarrassed by the request. What could [borrowing_friend.GetSheHe] possibly want it for?"""
" bp1_yearly.7005.a0: ""I suppose."""|""
" bp1_yearly.7005.b0: ""Not a chance."""|""
" "|""
" bp1_yearly.7005.a.returned_artifact0: ""Borrowed Artifact Returned."""|""
" "|""
" bp1_yearly.7006.t0: ""$bp1_yearly.7005.t$"""|""
" bp1_yearly.7006.desc0: ""[borrowing_friend.GetName] approaches me eyes downcast. ""Please don't be upset"".\n\nThey lead me to my [borrowed_artifact.GetName] which I can see is badly damaged. \n\n ""I'm sorry it was an accident"" [borrowing_friend.GetFirstNameNoTooltip] looks genuinely distraught."""|""
" bp1_yearly.7006.a0: ""You absolute [borrowing_friend.Custom('InsultNoun')]."""|""
" bp1_yearly.7006.b0: ""Accidents happen."""|""
" "|""
" bp1_yearly.7005.a.tt0: ""Your artifact may be damaged."""|""
" "|""
" bp1_yearly.7007.t0: ""$bp1_yearly.7005.t$"""|""
" bp1_yearly.7007.desc0: ""[borrowing_friend.GetName] has returned my [borrowed_artifact.GetName]. I'm not quite sure if they've just cleaned it or actually made changes, but it is looking more impressive than ever.\n\n ""I hope you like it, I worked on it all evening.""[borrowing_friend.GetSheHe] says looking nervous."""|""
" bp1_yearly.7007.a0: ""This is wonderful!"""|""
" bp1_yearly.7007.b0: ""You altered MY [borrowed_artifact.GetNameNoTooltip]?"""|""
" "|""
" didnt_trust_friend_opinion0: ""Didn't trust me."""|""
" trusted_friend_opinion0: ""Trusted me."""|""
" forgave_me_opinion0: ""Forgave me."""|""
" improved_artifact_opinion0: ""Improved my artifact."""|""
" messed_with_artifact_opinion0: ""Messed with my artifact."""|""
" "|""
" bp1_yearly.7010.t0: ""A Test of Loyalty"""|""
" bp1_yearly.7010.desc0: ""I can't stop thinking about where [tested_friend.GetFirstNamePossessive] loyalties lie. Is [tested_friend.GetSheHe] a true friend, or just a sycophant?\n\nPerhaps a little test will put my mind to rest...\n\nOne of my agents, a fake secret, and an anonymous gift. What would make [tested_friend.GetHerHim] betray my trust?"""|""
" bp1_yearly.7010.a0: ""Thirty pieces of silver."""|""
" bp1_yearly.7010.b0: ""Two... no, #EMP three#! beautiful [tested_friend.Custom('AttractionWomanManMultiple')], ready and willing."""|""
" bp1_yearly.7010.c0: ""The promise of riches for [tested_friend.GetHerHis] #EMP other#! friend, [friends_friend.GetFirstNameNoTooltip]."""|""
" bp1_yearly.7010.d0: ""This is beneath me."""|""
" "|""
" bp1_yearly.7010.toast.betrayed0: ""[tested_friend.GetSheHe"|"U] betrays you"""
" "|""
" bp1_yearly.7010.toast.not_betrayed0: ""[tested_friend.GetSheHe"|"U] proves [tested_friend.GetHerHis] loyalty"""
" "|""
" bp1_yearly.7010.a.tt0: ""You believe [tested_friend.GetFirstNamePossessive] loyalty can be bought with gold"""|""
" bp1_yearly.7010.b.tt0: ""You believe [tested_friend.GetFirstName] would choose carnal pleasures over friendship"""|""
" bp1_yearly.7010.c.tt0: ""You believe that [tested_friend.GetFirstName] cares more for [friends_friend.GetFirstNamePossessive] friendship than yours"""|""
" "|""
" "|""
" bp1_yearly.7050.t0: ""Old Foes"""|""
" bp1_yearly.7050.desc0: ""I'm back on the battlefield, the mud is clinging to my boots, the rank stench of the dead assaulting my nostrils, once again I'm reliving the day [war_memory.GetDescription].\n\nI wake up gasping, cold beads of sweat clinging to my face."""|""
" bp1_yearly.7050.desc.married0: ""[sleeping_spouse.GetFirstName] stirs beside me, but doesn't wake. I must deal with my troubles alone."""|""
" bp1_yearly.7050.desc.not_married0: ""All alone in my room I must deal with these troubles by myself."""|""
" bp1_yearly.7050.a0: ""I should try to forget."""|""
" bp1_yearly.7050.b0: ""I'll NEVER lose again!"""|""
" "|""
" vengeance_obsessed_modifier0: ""Obsessed With Vengeance"""|""
" "|""
" bp1_yearly.7051.t0: ""The Battle of [battle_area.GetNameNoTooltip] """|""
" bp1_yearly.7051.desc0: ""With vivid clarity I remember when [battle_memory.GetDescription]. It was a battle that took place in [battle_area.GetTerrain.GetNameNoTooltip], a terrain I was greatly unprepared for.\n\nSince then I have been mulling things over, I am confident that if the battle happened today I'd be a much more competent leader."""|""
" bp1_yearly.7051.a0: ""I'll never let it happen again."""|""
" bp1_yearly.7051.b0: ""I should learn to be flexible."""|""
" "|""
" bp1_yearly.7052.t0: ""A Story About..."""|""
