"l_english":""
" guest_description.outstanding_skill.desc0":"Видатний"
" guest_description.experienced_skill.desc0":"Досвідчений"
" guest_description.competent_skill.desc0":"Вмілий"
" guest_description.prowess.desc0":"Боєць ([prowess|El]: #V [ROOT.Char.GetSkill('prowess' )]#!)"
" guest_description.martial_start.desc0":"Командир"
" guest_description.martial_3_commander_traits.desc0":"([martial|El]: #V [ROOT.Char.GetSkill('martial' )]#!, [commander_traits|El] — #V 3#!)"
" guest_description.martial_2_commander_traits.desc0":"([martial|El]: #V [ROOT.Char.GetSkill('martial' )]#!, [commander_traits|El] — #V 2#!)"
" guest_description.martial_1_commander_traits.desc0":"([martial|El]: #V [ROOT.Char.GetSkill('martial' )]#!, [commander_trait|El] — #V 1#!)"
" guest_description.martial_0_commander_traits.desc0":"([martial|El]: #V [ROOT.Char.GetSkill('martial' )]#!)"
" guest_description.diplomacy.desc0":"Дипломат ([diplomacy|El]: #V [ROOT.Char.GetSkill('diplomacy' )]#!)"
" guest_description.stewardship.desc0":"Управитель ([stewardship|El]: #V [ROOT.Char.GetSkill('stewardship' )]#!)"
" guest_description.intrigue.desc0":"Інтриган ([intrigue|El]: #V [ROOT.Char.GetSkill('intrigue' )]#!)"
" guest_description.learning_start.desc0":"Лікар"
"":""
" guest_description.learning_physician_trait_1.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('physician_1').GetName( ROOT.Char )])"
" guest_description.learning_physician_trait_2.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('physician_2').GetName( ROOT.Char )])"
" guest_description.learning_physician_trait_3.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('physician_3').GetName( ROOT.Char )])"
" guest_description.learning_mystic_trait_1.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('mystic_1').GetName( ROOT.Char )])"
" guest_description.learning_mystic_trait_2.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('mystic_2').GetName( ROOT.Char )])"
" guest_description.learning_mystic_trait_3.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!, [GetTrait('mystic_3').GetName( ROOT.Char )])"
" guest_description.learning_herbalist_trait.desc0":"(#V [ROOT.Char.GetSkill('learning' )]#! [learning|El], [GetTrait('lifestyle_herbalist').GetName( ROOT.Char )])"
" guest_description.learning_no_trait.desc0":"([learning|El]: #V [ROOT.Char.GetSkill('learning' )]#!)"
" guest_description.claim_start.desc0":"Є цінна"
" guest_description.kingdom_claim.desc0":"[claim|E] на [kingdom|El]"
" guest_description.duchy_claim.desc0":"[claim|E] на [duchy|El]"
" guest_description.claim_claim.desc0":"[claim|E] на [county|El]"
" guest_description.gentic_start.desc0":""
" guest_description.intellect_good_3.desc0":"[GetTrait('intellect_good_3').GetName( ROOT.Char )]"
" guest_description.physique_good_3.desc0":"[GetTrait('physique_good_3').GetName( ROOT.Char )]"
" guest_description.beauty_good_3.desc0":"[GetTrait('beauty_good_3').GetName( ROOT.Char )]"
" guest_description.intellect_good_2.desc0":"[GetTrait('intellect_good_2').GetName( ROOT.Char )]"
" guest_description.physique_good_2.desc0":"[GetTrait('physique_good_2').GetName( ROOT.Char )]"
" guest_description.beauty_good_2.desc0":"[GetTrait('beauty_good_2').GetName( ROOT.Char )]"
" guest_description.intellect_good_1.desc0":"[GetTrait('intellect_good_1').GetName( ROOT.Char )]"
" guest_description.physique_good_1.desc0":"[GetTrait('physique_good_1').GetName( ROOT.Char )]"
" guest_description.beauty_good_1.desc0":"[GetTrait('beauty_good_1').GetName( ROOT.Char )]"
" guest_description.fecund.desc0":"[GetTrait('fecund').GetName( ROOT.Char )]"
" guest_description.gentic_end.desc0":"людина ([congenital|El] [traits|El])"
" guest_description.vassal_start.desc0":"Стане відмінним [Concept('vassal', 'васалом' )|E]"
" guest_description.vassal_content.desc0":"([GetTrait('content').GetName( ROOT.Char )])"
" guest_description.vassal_humble.desc0":"([GetTrait('humble').GetName( ROOT.Char )])"
" guest_description.vassal_trusting.desc0":"([GetTrait('trusting').GetName( ROOT.Char )])"
" guest_description.vassal_stewardship.desc0":"([stewardship|El]: #V [ROOT.Char.GetSkill('stewardship' )]#!)"
" guest_description.vassal_martial.desc0":"([martial|El]: #V [ROOT.Char.GetSkill('martial' )]#!)"
"":""
"":""
