"l_english":""
" PDX_TOOLTIP_SHORTCUT0":"#bold $MODS$$SHORTCUT$#!"
" SHORTCUT_KEY0":"$KEY$"
" SHORTCUT_KEY_MOD_shift0":"Shift +"
" SHORTCUT_KEY_MOD_alt0":"Alt +"
" SHORTCUT_KEY_MOD_ctrl0":"Ctrl +"
" SHORTCUT_KEY_MOD_os0":"Os +"
" KEY_ESCAPE0":"Esc"
" KEY_KP_PLUS0":"+"
" KEY_KP_MINUS0":"-"
" KEY_TAB0":"Tab"
" KEY_BACKSPACE0":"Backspace"
" KEY_RETURN0":"Enter"
" KEY_SPACE0":"Пробіл"
" KEY_KP0":"Цифрова клавіатура"
" KEY_KP_10":"$KEY_KP$ 1"
" KEY_KP_20":"$KEY_KP$ 2"
" KEY_KP_30":"$KEY_KP$ 3"
" KEY_KP_40":"$KEY_KP$ 4"
" KEY_KP_50":"$KEY_KP$ 5"
" KEY_KP_60":"$KEY_KP$ 6"
" KEY_KP_70":"$KEY_KP$ 7"
" KEY_KP_80":"$KEY_KP$ 8"
" KEY_KP_90":"$KEY_KP$ 9"
" KEY_KP_00":"$KEY_KP$ 0"
" FAKE_ESCAPE0":"#bold $KEY_ESCAPE$#!"
