"l_english:",""
" ### Modifiers",""
" fired_court_position0: ""Fired Court Position Holder""",""
"## Court Event 7030",""
" cultural_acceptance_foreign_merchants0: ""[foreign_merchant.GetCulture.GetName] Merchant Community""",""
" cultural_acceptance_foreigners_expelled0: ""[foreign_merchant.GetCulture.GetName] Merchants Expelled""",""
" court_7030_merchant_privileges0: ""Merchant Privileges Extended""",""
" court_7030_merchant_privileges_desc0: ""This character has offered special privileges to a group of foreign merchants"," in exchange for access to their expansive merchant navy."""
" foreign_merchant_community0: ""Foreign Merchant Community""",""
" foreign_merchant_community_desc0: ""A community of foreign merchants thrives in this county.""",""
"## Court Event 7040",""
" fervor_gain_ascetic_example0: ""Inspired by Ascetic""",""
" court_7040_ascetic_practices0: ""Practicing Asceticism""",""
" court_7040_ascetic_practices_desc0: ""This character has adopted certain ascetic practices in order to live closer to their religious ideals.""",""
"## Court Event 7050",""
" cultural_artifact_gift_accepted0: ""Gifted [friend.GetCulture.GetName] Artifact""",""
" cultural_artifact_gift_rejected0: ""Rejected [friend.GetCulture.GetName] Artifact""",""
" cultural_artifact_heretical0: ""[friend.GetCulture.GetName] Artifact Deemed Heretical""",""
" intolerance_of_icons0: ""Intolerance of non-orthodox cultures""",""
" court_7050_listens_to_church0: ""Obedient Believer""",""
" court_7050_listens_to_church_desc0: ""This character is truly zealous"," and listens to their priests and religious authorities."""
" court_7050_tolerance0: ""Tolerance of Others""",""
" court_7050_tolerance_desc0: ""This character has an open mind about the practices of others"," which irritates their religious authorities but is appreciated by those of a different faith."""
"## Court Event 7070",""
" court_7070_palace_renovations0: ""Palace Renovated""",""
" court_7072_homogenising_culture0: ""Preserver of Cultural Heritage""",""
" court_7072_renowned_court0: ""Renowned Palace""",""
" cultural_palace_architecture0: ""Adopted Foreign Architectural Style""",""
"## Court Event 7100",""
" pet_wolf0: ""Pet Wolf""",""
" pet_bear0: ""Pet Bear""",""
" pet_lion0: ""Pet Lion""",""
" pet_tiger0: ""Pet Tiger""",""
" exotic_pet_wolf0: ""Pet Wolf""",""
" exotic_pet_bear0: ""Pet Bear""",""
" exotic_pet_lion0: ""Pet Lion""",""
" exotic_pet_tiger0: ""Pet Tiger""",""
"## Court Event 7300",""
" incentivized_food_taster0: ""Incentivized Food Taster""",""
"## Court Event 7400",""
" expensive_guests0: ""Extravagant Host""",""
" expensive_guests_desc0: ""This ruler is known for their ludicrous hospitality.""",""
" inhospitable_court0: ""Inhospitable Host""",""
" inhospitable_court_desc0: ""This ruler's court is not the most welcoming of places.""",""
"## Court Event 7610",""
" struggling_with_destrier0: ""Struggling with Destrier""",""
" struggling_with_destrier_desc0: ""This character rides a full-sized warhorse"," despite not really being experienced enough to control it."""
" practicing_with_palfrey0: ""Practicing with Palfrey""",""
" practicing_with_palfrey_desc0: ""This character wasn't born in the saddle but has practiced their horsemanship with a suitable steed.""",""
"## Court Event 7620",""
" peregrine_falcon0: ""Owner of a Falcon""",""
" peregrine_falcon_desc0: ""This character owns a peregrine falcon"," a prestigious bird of prey used for hunting and showing off.\n\nThe [hunt|E] [activity|E] costs slightly less [gold|E]"""
"## Court Event 7630",""
" master_of_horse_cavalry_bonus0: ""Motivated $master_of_horse_court_position$""",""
" master_of_horse_cavalry_bonus_desc0: ""This character's $master_of_horse_court_position$ has reason to put extra effort into the arduous task of instructing other people to take good care of the horses.""",""
" master_of_hunt_activity_bonus0: ""Motivated $master_of_hunt_court_position$""",""
" master_of_hunt_activity_bonus_desc0: ""This character's $master_of_hunt_court_position$ puts additional effort into every scheduled hunt"," in gratitude for this character's support and loyalty.\n\nThe [hunt|E] [activity|E] costs slightly less [gold|E]."""
"## Court Event 7700",""
" honorable_ruler0: ""Honorable Ruler""",""
" honorable_ruler_desc0: ""This character took the high road when they didn't have to.""",""
" pigeon_thief0: ""Pet Pigeon""",""
" pigeon_thief_desc0: ""This character is always one step ahead thanks to their #EMP nefarious#! pet pigeon.""",""
" profiting_from_pigeon_thievery0: ""Pigeon Informant""",""
" profiting_from_pigeon_thievery_desc0: ""Some people refer to their informants as ""little birds."" This character means it literally.""",""
